"VendorCode","VendorName","2020-10","2020-11","2020-12","2021-01","2021-02","2021-03","2021-04","2021-05","2021-06","2021-07","2021-08"
"A00001A","Adtrans Hino Pty Ltd","","","","","","2","","","","",""
"A00002U","Aircraft Leasing VII Limited","","","4","2","12","15","13","27","11","",""
"A00003A","AUSTRALIAN TAXATION OFFICE","","","2","1","1","1","","","","",""
"A00004A","Australian Airline Pilot Academy Pty Ltd","","","1","1","1","1","","1","","2",""
"A00005A","A-ONE LIFT TRUCK SERVICES PTY LTD","","","","1","","","","","","",""
"A00006A","ANSETT AVIATION TRAINING","","","","6","6","13","8","6","3","1",""
"A00007A","Airmaster Australia Pty Ltd","","","","","","1","1","","","",""
"A00008A","AAPA Victoria Pty Ltd","","","","2","","","","","","",""
"A00009A","Australian Radio Network Pty Ltd","","","","","2","","","","","",""
"A00010A","A1 Bottled Water Pty Ltd","","","","","2","","1","2","","",""
"A00011A","AFAP","","","","","1","1","1","1","1","",""
"A00012A","Aviation Australia","","","","","4","1","3","1","1","",""
"A00013A","Able Storage Systems / ST ANDREWS HOLDING PTY LTD","","","","","","1","1","","","",""
"A00014A","Airservices Australia","","","","","","2","2","2","2","",""
"A00016A","Adelaide Airport Limted","","","","","","1","1","1","5","1",""
"A00017A","Aidacare Pty Ltd","","","","","","","","1","","",""
"A00018U","AVIALL AUSTRALIA PTY LTD","","","","","","","1","","","",""
"A00019U","AVIATION TOOL POOLING LLC / AVIAPOOL","","","","","","","","","1","",""
"A00020A","Airwork Flight Operations Pty Ltd","","","","","","","","","3","",""
"A00022A","Alyssa Dunn Design (deem employee >$450, pay super, paygw)","","","","","","","","2","2","",""
"A00025U","Avtrade Limited","","","","","","","","3","10","2",""
"A00026U","Aventure Int'l Aviation Services","","","","","","","","1","","",""
"A00027A","Aerodite Pty Ltd","","","","","","","","1","","",""
"A00028U","AEROTRON CONSUMABLE AND MILITARY SERVICES LIMITED","","","","","","","","","","1",""
"A00030A","Airport Retail Enterprises Pty Ltd","","","","","","","","","1","",""
"A00031A","Atir Design Pty Ltd/Atir Design Trust","","","","","","","","","","1",""
"A00032A","Affordable Plumbing Sydney","","","","","","","","","","1",""
"A00033A","Australian Securities & Investments Commission (ASIC) B-PAY","","","","","","","","","1","",""
"B00001A","Boeing Training and Flight Services Australia Pty Ltd","1","","1","2","","2","1","1","3","",""
"B00003A","The Branksome Residences Pty Ltd","5","4","5","5","6","3","2","7","6","2",""
"B00005U","BALI Auatralia Leasing PTY Limited (FX provided)","","","6","","2","2","4","3","2","1","1"
"B00006A","Byron Bay Cookie Company","","","","","4","","2","3","4","",""
"B00007A","BP AUSTRALIA PTY LTD / AIR BP (direct debit)","","","","4","2","20","20","12","16","8",""
"B00008A","B&H Worldwide Pty Ltd","","","","","","3","1","1","","",""
"B00010A","BRISBANE AIRPORT CORPORATION PTY LIMITED","","","","","","","1","1","1","1",""
"B00011A","Bega Dairy and Drinks/ BDD AUSTRALIA PTY LTD","","","","","","","","","5","2",""
"C00001U","Cabin Crew Safety Ltd","","1","","","","","","","","",""
"C00002A","CHIEF COMMISSIONER OF TAXES (NSW PAYROLL TAX)","","1","1","1","1","1","1","1","1","",""
"C00003A","COMMISSIONER OF STATE REVENUE (VIC PAYROLL TAX)","","1","1","1","2","1","1","1","1","",""
"C00004U","CPaT Global, LLC","","","2","1","1","1","1","1","1","1",""
"C00005A","City of Wagga Wagga / Wagga Wagga City Council","","","","1","","","","","","",""
"C00007A","Carman's Fine Foods Pty Ltd","","","","","","","4","","","",""
"C00008A","Centastaff Workforce Solutions / Global Shortlist Solutions","","","","","","","5","4","7","5",""
"C00009A","Carona Group Pty Ltd","","","","","","","","1","","",""
"C00010A","CT Partners Pty Ltd","","","","","","","","","2","",""
"C00011A","Canberra Airport Pty Limited","","","","","","","","","4","",""
"D00001A","Deloitte Tax Services Pty Ltd","1","","","","1","","","","","",""
"D00002A","Douglas Aerospace Pty Ltd","","","1","","1","","","","","",""
"D00003A","DANIEL SWINTON","","","1","","","","","","","",""
"D00004A","Dilmah Tea / Dilmah (Australia) Pty Ltd","","","","","","1","1","1","","",""
"D00006A","DHL Express (Australia) Pty Ltd","","","","","","","","","9","2",""
"E00001A","EEM Solution Pty LTD T/A TCR GSE (TCR)","","","","","","","","1","5","3",""
"E00002A","EML VIC Pty Ltd","","","","1","","","","1","","",""
"E00003U","ETMY ASIA CO., LTD.","","","","","","","1","","","",""
"E00004A","Event cupcakes Pty Ltd (Event cupcakes Pty Ltd)","","","","","","","","","3","",""
"E00005A","Express Travel Group Pty Ltd","","","","","","","","","1","",""
"F00001A","FAAST PRINT (MASCOT)","","2","1","","4","1","4","1","3","",""
"F00002A","Flight Data Systems Pty Ltd","","","","","1","2","1","3","2","",""
"F00003A","Fairfax Media Publications Pty Limited","","","","","1","","","","","",""
"F00004U","ForeFlight LLC","","","","","1","1","1","2","","",""
"F00006A","Festival City Broadcasters Pty Limited","","","","","","","1","","","",""
"G00002U","Global-C Limited","","","2","7","2","3","1","2","4","1",""
"G00004A","Gold Coast Airport Pty Ltd","","","","","","","3","2","3","",""
"G00005A","Grace E Pereira (Deemed Employee, pay super, no paygw)","","","","","","","","1","1","5",""
"H00001A","Heston MRO Pty Ltd","","","7","","4","3","12","6","12","6",""
"H00002A","Hyatt Place Melbourne (Essendon Fiels Hotel Pty Ltd)","","1","1","4","3","9","7","3","8","",""
"H00003A","Haycomp Pty Ltd","","","","1","","","","","","",""
"H00004A","Hawker Pacific Pty Ltd (Jet Aviation Australia)","","","","","1","","4","","","",""
"H00005A","HUGHES (A Division of Equity Transport Pty Ltd)","","","","","","","3","","1","",""
"H00006A","Hotel Grand Chancellor Adelaide (Hindley)","","","","","","","","1","1","",""
"H00007A","Helloworld Travel Limited","","","","","","","","","2","",""
"I00001A","icare workers insurance (NSW)","","","1","","","","","","","",""
"I00002A","Intrend Joinery Pty Ltd","","","","","1","","","","","",""
"I00003U","Intelsat Inflight LLC (gogo. commercial aviation)","","","","","","","","4","","",""
"J00001U","JEPPESEN / Boeing Digital Solutions, Inc.","","","1","","1","2","2","1","1","1",""
"J00002A","JOHN CAMERON AVIATION","","","","","1","","","","","",""
"J00003A","JASON'S PRINT SOLUTIONS PTY. LTD.","","","","","1","","","2","1","",""
"J00004A","Jedd Creator (employee/contract requied if > $450 a mth)","","","","","","","","1","","",""
"K00001A","KL LIM LAW PRACTICE / Lim Kim Lark (pay via Amex)","","","1","","","","","","","",""
"K00002U","KILLICK AEROSPACE","","","","","","","7","7","7","2",""
"K00003A","KEZ'S KITCHEN / Mickies Bikkies Pty Ltd","","","","","","4","13","1","","1",""
"L00001A","Leadenhall Valuation Services Pty Ltd","","1","","","","","","","","",""
"L00002A","Lim Kian Kiat (Single EFT)","","","","","1","","","1","","",""
"L00004U","Leksono Wijonarko (Subcontractor)","","","","1","2","2","2","","","",""
"L00006A","Link Portside/ Portside Property Services Pty Ltd","","","","1","","","","","","",""
"L00008U","Lufthansa Systems GmbH & Co. KG","","","","","","1","","","","",""
"L00009A","LAD Graphics Pty Ltd","","","","","1","","","1","","",""
"L00012A","LENCROW PTY LTD","","","","","","","1","","","",""
"L00013U","Lufthansa Technik AG","","","","","","","","","1","",""
"M00001A","Made Retail Systems","","1","","","","","","","","",""
